id_amostra;data_analise;lote;umidade_pct;proteina_pct;extrato_etereo_pct;fibras_pct;materia_mineral_pct;urease_uph;solubilidade_pct;indice_qualidade;classe_qualidade
FS0239;2026-03-02;FS-2026-0024;12.59;46.2;1.59;3.5;4.71;0.02;83.03;87.25;Conforme
FS0240;2026-03-02;FS-2026-0024;12.56;46.53;1.66;4.04;4.5;0.173;82.19;88.68;Excelente
FS0241;2026-03-03;FS-2026-0025;12.59;45.45;1.78;4.77;4.39;0.079;79.53;79.05;Atencao
FS0242;2026-03-03;FS-2026-0025;12.91;45.1;1.84;5.01;4.34;0.112;81.14;76.2;Atencao
FS0243;2026-03-03;FS-2026-0025;12.51;46.23;2.0;4.21;4.83;0.099;81.05;85.81;Conforme
FS0244;2026-03-03;FS-2026-0025;12.69;45.77;1.78;4.55;4.66;0.145;80.99;81.27;Conforme
FS0245;2026-03-04;FS-2026-0025;12.89;45.24;1.99;4.43;4.62;0.142;83.84;76.93;Atencao
FS0246;2026-03-04;FS-2026-0025;12.07;45.86;1.61;4.52;4.43;0.076;82.64;82.69;Conforme
FS0247;2026-03-04;FS-2026-0025;12.51;46.09;1.54;4.92;4.66;0.164;82.49;86.29;Conforme
FS0248;2026-03-04;FS-2026-0025;12.35;46.09;1.31;5.35;4.44;0.086;81.17;84.99;Conforme
FS0249;2026-03-05;FS-2026-0025;12.5;46.19;1.68;5.59;4.48;0.143;81.77;85.27;Conforme
FS0250;2026-03-05;FS-2026-0025;12.67;46.14;1.2;4.92;4.39;0.089;81.22;86.48;Conforme
FS0251;2026-03-05;FS-2026-0026;12.81;46.04;2.09;5.4;4.35;0.185;82.66;80.01;Conforme
FS0252;2026-03-05;FS-2026-0026;12.53;46.1;2.11;4.19;4.53;0.165;81.66;83.28;Conforme
FS0253;2026-03-06;FS-2026-0026;12.16;46.7;1.8;3.5;4.63;0.023;82.16;85.02;Conforme
FS0254;2026-03-06;FS-2026-0026;12.89;45.9;2.2;3.94;4.48;0.05;81.69;82.33;Conforme
FS0255;2026-03-06;FS-2026-0026;12.36;45.85;1.54;4.6;4.54;0.098;82.02;87.18;Conforme
FS0256;2026-03-06;FS-2026-0026;12.99;46.06;1.26;5.13;4.81;0.082;81.61;78.18;Atencao
FS0257;2026-03-07;FS-2026-0026;12.43;46.11;1.61;4.48;4.53;0.128;80.39;84.1;Conforme
FS0258;2026-03-07;FS-2026-0026;12.58;46.17;1.48;4.18;4.17;0.096;82.52;88.14;Excelente
FS0259;2026-03-07;FS-2026-0026;12.65;46.16;1.84;5.02;4.72;0.117;83.32;85.97;Conforme
FS0260;2026-03-07;FS-2026-0026;12.6;46.74;2.18;5.41;4.35;0.064;82.46;87.08;Conforme
FS0261;2026-03-08;FS-2026-0027;12.43;46.33;2.4;4.34;4.54;0.08;81.58;87.42;Conforme
FS0262;2026-03-08;FS-2026-0027;12.58;46.58;2.19;5.23;4.59;0.07;80.46;87.38;Conforme
FS0263;2026-03-08;FS-2026-0027;12.68;45.66;1.75;4.4;4.47;0.127;81.95;82.41;Conforme
FS0264;2026-03-08;FS-2026-0027;12.8;45.8;1.4;5.42;4.36;0.093;81.96;80.05;Conforme
FS0265;2026-03-09;FS-2026-0027;12.27;46.12;2.03;5.51;4.42;0.05;81.29;81.86;Conforme
FS0266;2026-03-09;FS-2026-0027;12.53;45.93;1.94;5.25;4.45;0.083;81.69;83.0;Conforme
FS0267;2026-03-09;FS-2026-0027;12.51;45.91;1.88;4.44;4.24;0.088;80.58;83.69;Conforme
FS0268;2026-03-09;FS-2026-0027;12.52;45.6;1.96;4.72;4.34;0.102;81.7;82.96;Conforme
FS0269;2026-03-10;FS-2026-0027;12.94;45.99;1.71;5.65;4.01;0.105;81.27;77.56;Atencao
FS0270;2026-03-10;FS-2026-0027;12.53;46.51;1.86;4.48;4.58;0.07;82.2;90.47;Excelente
FS0271;2026-03-10;FS-2026-0028;12.7;46.5;1.49;3.58;4.73;0.071;80.02;85.9;Conforme
FS0272;2026-03-10;FS-2026-0028;12.43;45.86;1.35;4.57;4.8;0.075;82.49;84.91;Conforme
FS0273;2026-03-11;FS-2026-0028;12.83;46.77;1.29;4.83;4.71;0.051;82.69;86.18;Conforme
FS0274;2026-03-11;FS-2026-0028;12.31;45.88;2.17;4.19;4.8;0.063;82.08;82.05;Conforme
FS0275;2026-03-11;FS-2026-0028;12.97;45.59;1.27;3.84;4.6;0.111;81.61;78.75;Atencao
FS0276;2026-03-11;FS-2026-0028;12.59;46.32;1.26;4.8;4.59;0.11;82.76;87.85;Conforme
FS0277;2026-03-12;FS-2026-0028;12.0;46.19;1.92;5.15;4.44;0.102;83.48;83.49;Conforme
FS0278;2026-03-12;FS-2026-0028;12.76;45.46;1.94;4.34;4.67;0.139;82.13;79.65;Atencao
FS0279;2026-03-12;FS-2026-0028;12.28;46.51;1.63;4.53;4.56;0.121;83.16;87.89;Conforme
FS0280;2026-03-12;FS-2026-0028;12.59;46.78;2.47;5.17;4.65;0.172;80.76;85.92;Conforme
FS0281;2026-03-13;FS-2026-0029;12.83;46.3;1.38;5.5;4.24;0.075;80.57;80.14;Conforme
FS0282;2026-03-13;FS-2026-0029;12.37;45.89;1.95;4.87;4.38;0.119;81.87;83.86;Conforme
FS0283;2026-03-13;FS-2026-0029;12.48;46.35;1.88;4.63;4.77;0.076;82.09;87.35;Conforme
FS0284;2026-03-13;FS-2026-0029;12.68;45.73;1.63;4.42;4.73;0.033;84.49;85.09;Conforme
FS0285;2026-03-14;FS-2026-0029;12.59;46.93;1.44;5.03;4.36;0.081;81.47;90.16;Excelente
FS0286;2026-03-14;FS-2026-0029;12.47;45.87;1.55;5.55;4.35;0.196;82.19;82.02;Conforme
FS0287;2026-03-14;FS-2026-0029;12.0;46.31;2.5;4.6;4.35;0.111;81.76;78.98;Atencao
FS0288;2026-03-14;FS-2026-0029;12.64;46.56;1.81;4.48;4.46;0.064;81.54;88.01;Excelente
FS0289;2026-03-15;FS-2026-0029;12.2;46.32;1.87;4.17;4.16;0.114;83.61;85.16;Conforme
FS0290;2026-03-15;FS-2026-0029;12.48;46.07;1.93;4.33;4.15;0.109;81.47;87.56;Conforme
FS0291;2026-03-15;FS-2026-0030;12.19;45.71;1.64;5.37;4.63;0.068;80.92;76.33;Atencao
FS0292;2026-03-15;FS-2026-0030;12.52;46.37;1.51;5.55;4.54;0.09;81.9;88.48;Excelente
FS0293;2026-03-16;FS-2026-0030;12.07;45.9;1.64;4.92;4.54;0.084;83.05;82.37;Conforme
FS0294;2026-03-16;FS-2026-0030;12.59;46.12;1.82;4.33;4.03;0.087;81.53;83.84;Conforme
FS0295;2026-03-16;FS-2026-0030;12.56;46.11;1.45;5.07;4.2;0.164;82.99;87.11;Conforme
FS0296;2026-03-16;FS-2026-0030;12.7;46.2;2.03;4.72;5.0;0.156;82.02;81.26;Conforme
FS0297;2026-03-17;FS-2026-0030;12.37;46.42;1.98;4.49;4.32;0.074;81.56;87.75;Conforme
FS0298;2026-03-17;FS-2026-0030;12.55;45.55;2.13;4.64;4.25;0.112;81.98;83.1;Conforme
FS0299;2026-03-17;FS-2026-0030;12.54;45.42;1.35;4.13;4.47;0.033;81.52;80.85;Conforme
FS0300;2026-03-17;FS-2026-0030;12.44;45.59;1.83;5.49;4.57;0.105;82.53;83.6;Conforme
FS0301;2026-03-18;FS-2026-0031;12.59;46.02;1.88;3.81;4.19;0.076;82.3;85.85;Conforme
FS0302;2026-03-18;FS-2026-0031;12.11;45.93;1.7;3.5;4.51;0.099;85.0;88.79;Excelente
FS0303;2026-03-18;FS-2026-0031;12.8;45.98;1.64;3.76;4.63;0.137;82.03;83.9;Conforme
FS0304;2026-03-18;FS-2026-0031;12.35;45.99;1.94;4.19;4.5;0.126;82.48;85.9;Conforme
FS0305;2026-03-19;FS-2026-0031;12.31;45.55;1.5;3.5;4.49;0.06;81.99;81.84;Conforme
FS0306;2026-03-19;FS-2026-0031;12.46;45.93;1.55;4.71;4.41;0.05;80.93;85.65;Conforme
FS0307;2026-03-19;FS-2026-0031;12.08;46.57;2.03;4.08;4.2;0.124;81.8;83.59;Conforme
FS0308;2026-03-19;FS-2026-0031;12.64;46.24;1.59;5.23;4.54;0.106;81.37;85.44;Conforme
FS0309;2026-03-20;FS-2026-0031;13.0;45.72;1.76;5.09;4.62;0.048;81.95;76.04;Atencao
FS0310;2026-03-20;FS-2026-0031;12.56;45.27;1.37;5.14;4.0;0.093;83.61;81.68;Conforme
FS0311;2026-03-20;FS-2026-0032;12.38;45.87;1.86;4.47;4.13;0.197;81.73;80.85;Conforme
FS0312;2026-03-20;FS-2026-0032;13.0;46.59;2.02;3.84;4.79;0.109;82.2;84.39;Conforme
FS0313;2026-03-21;FS-2026-0032;12.45;46.65;1.75;5.32;4.36;0.094;83.2;91.27;Excelente
FS0314;2026-03-21;FS-2026-0032;12.4;46.74;1.86;4.48;4.06;0.089;82.83;87.33;Conforme
FS0315;2026-03-21;FS-2026-0032;12.64;45.62;1.44;3.57;4.17;0.041;81.74;79.9;Atencao
FS0316;2026-03-21;FS-2026-0032;12.27;46.27;1.72;4.54;4.46;0.101;82.91;88.72;Excelente
FS0317;2026-03-22;FS-2026-0032;12.52;46.07;2.06;4.15;4.75;0.132;81.45;85.87;Conforme
FS0318;2026-03-22;FS-2026-0032;12.6;46.43;1.93;5.73;4.76;0.164;82.67;84.73;Conforme
FS0319;2026-03-22;FS-2026-0032;12.18;45.36;1.74;3.77;4.79;0.178;80.9;77.5;Atencao
FS0320;2026-03-22;FS-2026-0032;12.55;45.93;2.47;4.45;4.44;0.059;82.96;87.19;Conforme
FS0321;2026-03-23;FS-2026-0033;12.34;45.92;1.63;5.85;4.61;0.165;83.86;82.97;Conforme
FS0322;2026-03-23;FS-2026-0033;12.26;46.12;2.25;3.99;4.84;0.066;80.75;81.72;Conforme
FS0323;2026-03-23;FS-2026-0033;12.48;46.12;1.66;5.44;4.45;0.042;82.88;85.12;Conforme
FS0324;2026-03-23;FS-2026-0033;12.29;46.0;1.91;4.89;4.66;0.097;82.64;85.34;Conforme
FS0325;2026-03-24;FS-2026-0033;12.89;45.54;1.47;5.48;4.48;0.053;82.26;76.51;Atencao
FS0326;2026-03-24;FS-2026-0033;12.48;46.83;1.66;4.34;4.45;0.157;81.03;89.85;Excelente
FS0327;2026-03-24;FS-2026-0033;12.8;45.52;2.07;4.42;4.14;0.048;82.52;77.02;Atencao
FS0328;2026-03-24;FS-2026-0033;12.64;47.0;1.67;4.22;4.5;0.048;81.86;91.9;Excelente
FS0329;2026-03-25;FS-2026-0033;12.38;45.86;1.21;4.38;4.74;0.107;82.35;88.47;Excelente
FS0330;2026-03-25;FS-2026-0033;12.37;46.48;1.72;5.7;4.55;0.167;81.96;83.82;Conforme
FS0331;2026-03-25;FS-2026-0034;12.5;45.8;2.5;4.97;4.57;0.111;80.57;80.74;Conforme
FS0332;2026-03-25;FS-2026-0034;12.42;45.61;2.17;4.81;4.75;0.084;81.79;83.62;Conforme
FS0333;2026-03-26;FS-2026-0034;12.37;46.19;1.84;5.04;4.31;0.102;81.78;86.07;Conforme
FS0334;2026-03-26;FS-2026-0034;12.04;46.09;1.97;5.04;4.51;0.051;81.35;80.14;Conforme
FS0335;2026-03-26;FS-2026-0034;12.03;46.32;1.93;4.46;4.04;0.095;81.8;80.86;Conforme
FS0336;2026-03-26;FS-2026-0034;12.54;46.05;1.96;3.72;4.23;0.095;82.89;89.08;Excelente
FS0337;2026-03-27;FS-2026-0034;12.39;46.17;1.61;5.36;4.13;0.055;81.19;82.83;Conforme
FS0338;2026-03-27;FS-2026-0034;12.2;46.47;1.78;5.31;4.3;0.04;81.78;84.62;Conforme
FS0339;2026-03-27;FS-2026-0034;12.53;45.9;1.8;3.92;4.44;0.069;82.18;85.65;Conforme
FS0340;2026-03-27;FS-2026-0034;12.38;46.84;1.31;4.84;4.75;0.122;82.09;88.44;Excelente
FS0341;2026-03-28;FS-2026-0035;12.28;45.63;1.52;4.82;4.22;0.088;82.6;80.54;Conforme
FS0342;2026-03-28;FS-2026-0035;12.48;45.95;1.75;3.73;4.41;0.073;81.42;88.41;Excelente
FS0343;2026-03-28;FS-2026-0035;12.14;46.27;1.87;4.94;4.45;0.037;81.19;81.41;Conforme
FS0344;2026-03-28;FS-2026-0035;12.43;46.29;1.77;4.25;4.55;0.09;78.99;83.2;Conforme
FS0345;2026-03-29;FS-2026-0035;12.39;46.22;1.21;5.11;4.47;0.077;84.27;89.22;Excelente
FS0346;2026-03-29;FS-2026-0035;12.53;45.61;2.05;4.28;4.36;0.073;83.59;87.3;Conforme
FS0347;2026-03-29;FS-2026-0035;12.5;46.12;1.66;4.26;4.16;0.061;82.36;87.19;Conforme
FS0348;2026-03-29;FS-2026-0035;12.42;46.1;1.99;4.68;4.66;0.127;81.61;82.92;Conforme
FS0349;2026-03-30;FS-2026-0035;12.58;46.0;2.0;3.99;4.61;0.122;82.06;86.96;Conforme
FS0350;2026-03-30;FS-2026-0035;12.91;45.35;1.94;3.5;4.37;0.153;80.43;78.53;Atencao
FS0351;2026-03-30;FS-2026-0036;12.36;46.26;2.37;4.5;4.31;0.031;84.65;87.27;Conforme
FS0352;2026-03-30;FS-2026-0036;12.35;46.29;1.6;4.53;4.47;0.065;81.33;87.88;Conforme
FS0353;2026-03-31;FS-2026-0036;12.47;46.46;2.25;4.53;4.53;0.072;80.94;87.57;Conforme
FS0354;2026-03-31;FS-2026-0036;12.1;46.02;1.9;3.99;4.96;0.146;82.63;81.16;Conforme
FS0355;2026-03-31;FS-2026-0036;12.03;46.18;2.5;4.6;4.55;0.109;82.91;84.39;Conforme
FS0356;2026-03-31;FS-2026-0036;12.45;46.13;1.76;4.16;4.34;0.049;81.99;84.46;Conforme
FS0357;2026-04-01;FS-2026-0036;12.55;46.06;2.26;4.22;4.42;0.076;81.14;85.16;Conforme
FS0358;2026-04-01;FS-2026-0036;12.54;45.33;1.85;4.26;4.05;0.075;82.58;82.54;Conforme
FS0359;2026-04-01;FS-2026-0036;12.37;46.05;1.25;5.08;4.61;0.073;82.34;85.86;Conforme
FS0360;2026-04-01;FS-2026-0036;12.19;46.08;1.74;4.58;4.92;0.091;81.94;84.07;Conforme
FS0361;2026-04-02;FS-2026-0037;13.0;45.9;2.18;3.5;4.54;0.04;83.29;82.62;Conforme
FS0362;2026-04-02;FS-2026-0037;12.11;46.36;2.0;4.67;4.57;0.043;83.9;85.83;Conforme
FS0363;2026-04-02;FS-2026-0037;12.45;45.97;1.86;4.23;4.37;0.106;83.01;86.2;Conforme
FS0364;2026-04-02;FS-2026-0037;12.37;46.24;1.93;4.77;4.65;0.124;81.32;85.23;Conforme
FS0365;2026-04-03;FS-2026-0037;12.45;46.36;1.43;4.98;4.63;0.12;81.61;86.6;Conforme
FS0366;2026-04-03;FS-2026-0037;12.56;47.0;2.17;4.9;4.3;0.104;81.86;90.73;Excelente
FS0367;2026-04-03;FS-2026-0037;12.83;46.2;1.92;4.69;4.46;0.063;81.02;82.12;Conforme
FS0368;2026-04-03;FS-2026-0037;12.48;46.01;1.52;3.87;4.34;0.106;82.45;88.84;Excelente
FS0369;2026-04-04;FS-2026-0037;12.22;46.06;1.54;4.81;4.36;0.069;80.32;80.98;Conforme
FS0370;2026-04-04;FS-2026-0037;12.29;46.08;1.38;4.41;4.58;0.187;82.54;84.33;Conforme
FS0371;2026-04-04;FS-2026-0038;12.0;46.38;1.57;4.15;4.56;0.113;82.64;86.48;Conforme
FS0372;2026-04-04;FS-2026-0038;12.48;46.28;1.52;5.26;4.62;0.165;82.15;85.88;Conforme
FS0373;2026-04-05;FS-2026-0038;12.52;46.25;1.42;3.96;4.37;0.135;81.51;87.16;Conforme
FS0374;2026-04-05;FS-2026-0038;12.33;46.75;1.91;4.28;4.6;0.029;84.17;89.45;Excelente
FS0375;2026-04-05;FS-2026-0038;12.71;46.14;1.46;3.95;4.5;0.064;82.45;85.22;Conforme
FS0376;2026-04-05;FS-2026-0038;12.6;46.28;1.93;4.37;4.55;0.026;81.89;85.35;Conforme
FS0377;2026-04-06;FS-2026-0038;12.89;46.61;1.85;4.29;4.46;0.093;82.97;88.64;Excelente
FS0378;2026-04-06;FS-2026-0038;12.5;46.01;1.27;4.73;4.5;0.124;81.76;87.26;Conforme
FS0379;2026-04-06;FS-2026-0038;12.4;45.85;1.57;4.71;4.35;0.048;83.03;81.58;Conforme
FS0380;2026-04-06;FS-2026-0038;12.83;46.52;1.77;4.92;4.62;0.06;82.59;84.79;Conforme
FS0381;2026-04-07;FS-2026-0039;12.41;45.89;1.83;5.18;4.51;0.181;81.06;81.2;Conforme
FS0382;2026-04-07;FS-2026-0039;12.73;46.26;1.2;5.16;4.4;0.152;82.42;84.5;Conforme
FS0383;2026-04-07;FS-2026-0039;12.75;46.37;2.01;4.32;4.33;0.139;83.74;88.45;Excelente
FS0384;2026-04-07;FS-2026-0039;12.28;46.29;1.83;4.08;4.61;0.178;82.59;88.16;Excelente
FS0385;2026-04-08;FS-2026-0039;12.23;46.52;2.19;4.73;4.55;0.152;80.55;81.85;Conforme
FS0386;2026-04-08;FS-2026-0039;12.58;45.93;2.11;4.74;4.44;0.102;83.63;87.22;Conforme
FS0387;2026-04-08;FS-2026-0039;12.19;45.9;2.2;5.41;4.24;0.054;82.69;81.36;Conforme
FS0388;2026-04-08;FS-2026-0039;12.82;45.61;1.83;4.78;4.03;0.059;83.46;80.09;Conforme
FS0389;2026-04-09;FS-2026-0039;12.38;45.8;2.03;4.98;4.52;0.147;82.81;82.89;Conforme
FS0390;2026-04-09;FS-2026-0039;12.42;45.82;1.49;4.05;4.39;0.018;81.6;83.7;Conforme
FS0391;2026-04-09;FS-2026-0040;12.18;46.13;1.2;4.41;4.66;0.05;83.1;84.61;Conforme
FS0392;2026-04-09;FS-2026-0040;12.39;46.0;2.2;4.45;4.35;0.055;83.66;84.56;Conforme
FS0393;2026-04-10;FS-2026-0040;12.58;45.83;1.53;5.18;4.27;0.06;82.95;84.16;Conforme
FS0394;2026-04-10;FS-2026-0040;12.28;45.45;2.21;4.14;4.17;0.081;81.66;77.83;Atencao
FS0395;2026-04-10;FS-2026-0040;12.32;46.01;2.05;4.08;4.38;0.082;82.15;85.68;Conforme
FS0396;2026-04-10;FS-2026-0040;12.59;45.14;1.81;5.12;4.17;0.123;82.36;78.48;Atencao
FS0397;2026-04-11;FS-2026-0040;12.32;45.82;1.86;3.5;4.13;0.092;83.15;86.45;Conforme
FS0398;2026-04-11;FS-2026-0040;12.79;46.56;1.2;4.38;4.39;0.154;81.43;87.25;Conforme
FS0399;2026-04-11;FS-2026-0040;12.91;45.92;1.74;4.49;4.62;0.054;82.39;80.87;Conforme
FS0400;2026-04-11;FS-2026-0040;12.54;46.49;1.89;4.15;4.79;0.054;82.87;89.73;Excelente
FS0401;2026-04-12;FS-2026-0041;12.89;45.42;1.49;4.83;4.88;0.047;83.03;76.74;Atencao
FS0402;2026-04-12;FS-2026-0041;12.27;46.61;1.84;4.79;4.84;0.066;81.47;86.04;Conforme
FS0403;2026-04-12;FS-2026-0041;12.59;45.94;1.41;5.02;4.7;0.127;83.06;86.0;Conforme
FS0404;2026-04-12;FS-2026-0041;12.71;46.07;1.45;4.96;4.63;0.115;80.87;84.26;Conforme
FS0405;2026-04-13;FS-2026-0041;12.08;46.27;1.89;4.43;4.41;0.065;83.14;84.98;Conforme
FS0406;2026-04-13;FS-2026-0041;12.51;46.32;2.1;3.92;4.61;0.136;81.66;87.28;Conforme
FS0407;2026-04-13;FS-2026-0041;12.1;46.03;1.54;4.93;4.39;0.107;82.03;81.98;Conforme
FS0408;2026-04-13;FS-2026-0041;12.33;46.26;1.24;4.89;4.59;0.069;82.87;87.8;Conforme
FS0409;2026-04-14;FS-2026-0041;12.1;46.95;1.77;4.15;4.57;0.197;79.94;82.1;Conforme
FS0410;2026-04-14;FS-2026-0041;12.28;46.21;1.89;5.4;4.54;0.096;81.84;84.66;Conforme
FS0411;2026-04-14;FS-2026-0042;12.33;46.28;2.11;4.38;4.31;0.15;81.61;81.21;Conforme
FS0412;2026-04-14;FS-2026-0042;12.26;45.67;1.99;3.5;4.71;0.067;82.17;81.87;Conforme
FS0413;2026-04-15;FS-2026-0042;12.28;46.04;1.67;4.63;4.67;0.121;83.22;83.77;Conforme
FS0414;2026-04-15;FS-2026-0042;12.08;46.64;1.86;4.29;4.3;0.069;82.36;85.46;Conforme
FS0415;2026-04-15;FS-2026-0042;12.37;46.32;2.04;4.91;4.33;0.157;81.62;83.78;Conforme
FS0416;2026-04-15;FS-2026-0042;12.63;45.3;1.82;5.39;4.41;0.108;80.81;80.82;Conforme
FS0417;2026-04-16;FS-2026-0042;12.03;46.71;1.77;5.38;4.76;0.026;81.95;82.62;Conforme
FS0418;2026-04-16;FS-2026-0042;12.41;45.89;1.47;5.52;4.31;0.186;80.2;79.28;Atencao
FS0419;2026-04-16;FS-2026-0042;12.84;45.81;2.39;4.83;4.46;0.128;82.15;81.9;Conforme
FS0420;2026-04-16;FS-2026-0042;12.36;45.93;1.94;4.93;4.59;0.023;81.05;80.5;Conforme
FS0421;2026-04-17;FS-2026-0043;12.22;46.24;1.84;5.23;4.38;0.141;80.11;80.92;Conforme
FS0422;2026-04-17;FS-2026-0043;12.52;46.59;2.5;3.5;5.0;0.058;83.41;90.71;Excelente
FS0423;2026-04-17;FS-2026-0043;12.45;46.04;2.25;5.6;4.36;0.072;80.95;82.9;Conforme
FS0424;2026-04-17;FS-2026-0043;12.19;46.74;1.47;4.25;4.65;0.095;81.77;86.29;Conforme
FS0425;2026-04-18;FS-2026-0043;12.89;46.23;1.96;4.78;4.4;0.067;81.96;82.07;Conforme
FS0426;2026-04-18;FS-2026-0043;12.24;46.17;2.04;4.44;4.22;0.087;83.07;82.89;Conforme
FS0427;2026-04-18;FS-2026-0043;12.3;46.33;1.96;3.91;4.21;0.137;82.54;86.51;Conforme
FS0428;2026-04-18;FS-2026-0043;12.66;46.0;1.47;4.78;4.28;0.087;82.75;85.95;Conforme
FS0429;2026-04-19;FS-2026-0043;12.71;45.3;2.08;4.69;5.0;0.092;83.31;79.41;Atencao
FS0430;2026-04-19;FS-2026-0043;12.18;46.59;1.68;4.74;4.73;0.026;82.56;84.37;Conforme
FS0431;2026-04-19;FS-2026-0044;12.29;46.46;1.92;5.03;4.38;0.103;82.02;89.2;Excelente
FS0432;2026-04-19;FS-2026-0044;12.13;45.7;2.0;4.15;4.7;0.105;83.36;81.65;Conforme
FS0433;2026-04-20;FS-2026-0044;12.36;46.77;1.92;4.36;4.59;0.135;82.13;89.16;Excelente
FS0434;2026-04-20;FS-2026-0044;12.3;46.39;1.2;4.89;4.59;0.057;83.95;88.44;Excelente
FS0435;2026-04-20;FS-2026-0044;12.97;45.97;1.83;4.06;4.71;0.084;80.88;78.89;Atencao
FS0436;2026-04-20;FS-2026-0044;12.93;46.26;1.7;4.91;4.19;0.043;82.41;82.55;Conforme
FS0437;2026-04-21;FS-2026-0044;12.87;45.94;1.72;5.48;4.42;0.158;82.57;81.52;Conforme
FS0438;2026-04-21;FS-2026-0044;12.68;45.77;1.2;4.24;4.53;0.086;83.65;86.26;Conforme
FS0439;2026-04-21;FS-2026-0044;12.82;45.98;1.8;5.65;4.48;0.096;79.6;79.64;Atencao
FS0440;2026-04-21;FS-2026-0044;12.3;45.9;1.67;4.08;4.54;0.099;82.15;85.16;Conforme
FS0441;2026-04-22;FS-2026-0045;12.55;46.23;2.44;5.48;5.0;0.057;82.01;82.88;Conforme
FS0442;2026-04-22;FS-2026-0045;12.39;46.46;1.51;3.75;4.37;0.086;81.55;88.67;Excelente
FS0443;2026-04-22;FS-2026-0045;12.6;45.7;1.46;5.2;4.2;0.17;82.14;80.92;Conforme
FS0444;2026-04-22;FS-2026-0045;12.52;46.37;1.77;4.32;4.55;0.033;83.05;89.17;Excelente
FS0445;2026-04-23;FS-2026-0045;12.57;47.0;2.1;4.44;4.92;0.087;82.48;91.24;Excelente
FS0446;2026-04-23;FS-2026-0045;12.62;46.47;2.34;4.56;4.38;0.066;82.55;87.18;Conforme
FS0447;2026-04-23;FS-2026-0045;12.4;45.95;1.66;4.86;4.63;0.13;81.51;81.87;Conforme
FS0448;2026-04-23;FS-2026-0045;12.8;46.14;1.54;5.39;4.84;0.094;80.87;82.4;Conforme
FS0449;2026-04-24;FS-2026-0045;12.88;45.99;2.37;5.84;4.54;0.085;81.33;80.35;Conforme
FS0450;2026-04-24;FS-2026-0045;12.3;46.32;1.3;4.36;4.39;0.079;81.65;84.68;Conforme
FS0451;2026-04-24;FS-2026-0046;13.0;45.87;1.64;5.34;4.47;0.066;82.23;78.78;Atencao
FS0452;2026-04-24;FS-2026-0046;12.54;47.0;2.12;3.63;4.67;0.098;80.63;92.47;Excelente
FS0453;2026-04-25;FS-2026-0046;12.66;46.21;1.73;5.04;4.66;0.112;82.27;87.67;Conforme
FS0454;2026-04-25;FS-2026-0046;12.44;46.21;2.03;3.67;4.55;0.15;81.09;86.35;Conforme
FS0455;2026-04-25;FS-2026-0046;12.6;46.08;1.66;5.65;4.24;0.043;82.43;81.65;Conforme
FS0456;2026-04-25;FS-2026-0046;12.34;45.89;1.93;4.49;4.49;0.098;83.21;85.65;Conforme
FS0457;2026-04-26;FS-2026-0046;12.33;45.71;1.35;4.35;4.26;0.095;80.33;81.74;Conforme
FS0458;2026-04-26;FS-2026-0046;12.44;46.07;1.2;4.57;4.58;0.11;82.4;87.31;Conforme
FS0459;2026-04-26;FS-2026-0046;12.27;46.23;1.67;4.17;4.59;0.074;83.08;88.55;Excelente
FS0460;2026-04-26;FS-2026-0046;12.52;45.89;1.65;4.29;4.64;0.116;83.18;86.12;Conforme
FS0461;2026-04-27;FS-2026-0047;12.55;46.17;1.72;5.15;4.24;0.12;81.87;86.81;Conforme
FS0462;2026-04-27;FS-2026-0047;12.72;46.81;1.93;4.25;4.31;0.05;84.84;90.73;Excelente
FS0463;2026-04-27;FS-2026-0047;12.89;46.21;2.1;4.48;4.79;0.066;81.53;80.77;Conforme
FS0464;2026-04-27;FS-2026-0047;12.1;46.29;2.47;4.75;4.49;0.091;81.86;81.34;Conforme
FS0465;2026-04-28;FS-2026-0047;12.32;46.28;2.0;4.36;4.59;0.096;81.29;86.49;Conforme
FS0466;2026-04-28;FS-2026-0047;12.74;45.97;1.39;4.93;4.59;0.076;80.87;82.58;Conforme
FS0467;2026-04-28;FS-2026-0047;12.49;47.0;1.71;4.89;4.16;0.021;82.38;90.01;Excelente
FS0468;2026-04-28;FS-2026-0047;12.55;46.1;1.66;5.15;4.21;0.134;79.57;82.68;Conforme
FS0469;2026-04-29;FS-2026-0047;12.61;46.02;1.94;5.35;4.75;0.205;81.76;79.74;Atencao
FS0470;2026-04-29;FS-2026-0047;12.25;46.1;1.53;4.55;4.38;0.063;81.14;82.34;Conforme
FS0471;2026-04-29;FS-2026-0048;12.32;46.32;2.18;5.35;4.66;0.083;81.08;81.42;Conforme
FS0472;2026-04-29;FS-2026-0048;12.48;45.96;2.33;4.98;4.26;0.109;84.1;88.01;Excelente
FS0473;2026-04-30;FS-2026-0048;12.3;45.88;2.0;4.57;4.24;0.106;82.06;80.88;Conforme
FS0474;2026-04-30;FS-2026-0048;12.65;46.44;2.41;4.72;4.28;0.075;81.87;85.21;Conforme
FS0475;2026-04-30;FS-2026-0048;12.0;47.0;1.79;4.54;4.61;0.03;82.7;84.67;Conforme
FS0476;2026-04-30;FS-2026-0048;12.53;45.75;1.71;5.13;4.51;0.164;82.47;83.06;Conforme
FS0477;2026-05-01;FS-2026-0048;12.39;46.18;1.28;4.33;4.35;0.059;83.98;90.36;Excelente
